suite,region_number,group,model,match_plural,match_sing,mismatch_plural,mismatch_sing
SVNA-src,7,2003,jrnn,13.429517,17.443871,15.734184,16.547169
SVNA-src,7,2003,llama,20.6443246820817,17.3852377056396,18.844059856363,16.4344158205149
SVNA-src,7,2003,rnng,12.578766666666667,14.989933333333333,13.871133333333333,13.577266666666667
SVNA-src,7,2004,gpt2,10.276699,12.058953,14.580834,13.524113
SVNA-src,7,2004,grnn,12.596192,16.627335,16.625017,15.595392
SVNA-src,7,2004,human,755.5833333333334,946.8571428571429,794,1763
SVNA-src,7,2004,jrnn,12.800137,14.731351,14.618009,15.224773
SVNA-src,7,2004,llama,10.2823228448841,11.8091581902729,14.9049275459199,13.8174009064538
SVNA-src,7,2004,rnng,6.25852,6.01455,9.617566666666667,9.15849
SVNA-src,7,2005,gpt2,10.1139,16.380763,18.187917,9.552903
SVNA-src,7,2005,grnn,11.02722,16.744305,18.043634,10.083341
SVNA-src,7,2005,human,1112,974.75,960,1108.5
SVNA-src,7,2005,jrnn,10.272784,16.750801,16.009975,9.443148
SVNA-src,7,2005,llama,11.5430629719569,14.5192364678614,20.1440777952531,8.6248734444585
SVNA-src,7,2005,rnng,8.314436666666667,8.662066666666666,11.784966666666667,8.213973333333334
SVNA-src,7,2006,gpt2,15.495966,15.076049,18.481551,17.442343
SVNA-src,7,2006,grnn,14.902464,17.209156,17.991241,16.687387
SVNA-src,7,2006,human,774,941.2222222222222,1324,979
SVNA-src,7,2006,jrnn,16.71368,16.981844,19.250898,18.230558
SVNA-src,7,2006,llama,15.8627481869992,15.7188958563026,20.7816597493627,16.5727449651757
SVNA-src,7,2006,rnng,8.082633333333334,9.233643333333333,13.075666666666669,11.3345
SVNA-src,7,2007,gpt2,6.394379,6.233449,11.458836,11.45383
SVNA-src,7,2007,grnn,6.018325,5.316898,9.644514,8.684649
SVNA-src,7,2007,human,706.2,648,962.7777777777778,730.5
SVNA-src,7,2007,jrnn,7.411361,6.752627,9.923169,10.810188
SVNA-src,7,2007,llama,6.26794532656459,6.59003914905391,11.1525621835973,9.44727989942457
SVNA-src,7,2007,rnng,3.09206,2.5983233333333335,7.017253333333334,6.262370000000001
SVNA-src,7,2008,gpt2,2.907597,4.05727,7.804408,9.310011
